Action1,S2,Action2,Re,subject,round,rt2
2,3,1,-2,237,44,1
2,3,1,-2,237,45,1
2,3,1,0,237,46,1
2,3,1,0,237,47,1
2,3,1,-3,237,48,1
2,3,2,-2,237,49,0
2,3,2,-3,237,50,1
2,3,2,-2,237,51,1
2,3,2,-3,237,52,1
2,3,2,-4,237,53,1
2,2,1,0,237,54,1
2,3,2,-1,237,55,1
2,3,2,-2,237,56,1
2,3,1,0,237,57,0
2,3,1,-2,237,58,1
2,3,1,0,237,59,1
2,2,1,4,237,60,1
2,2,1,3,237,61,1
2,3,1,-1,237,62,1
2,3,1,0,237,63,1
2,2,1,-1,237,64,1
2,2,1,-3,237,65,1
2,3,1,-5,237,66,1
2,2,1,-1,237,67,0
2,3,1,-2,237,68,1
2,3,1,-2,237,69,1
2,3,1,-1,237,70,1
2,2,1,-1,237,71,1
2,2,1,-1,237,72,1
2,3,1,-1,237,73,1
2,2,1,-1,237,74,1
2,3,1,0,237,75,1
2,3,1,1,237,76,1
2,3,1,1,237,77,1
2,3,1,0,237,78,1
2,3,1,4,237,79,1
2,2,1,-2,237,80,1
2,3,1,4,237,81,1
2,3,1,2,237,82,1
2,3,1,0,237,83,1
2,3,1,2,237,84,0
2,2,1,-5,237,85,1
2,3,1,2,237,86,1
2,3,1,1,237,87,1
1,3,1,2,237,88,1
1,2,1,-3,237,89,1
1,2,1,-4,237,90,0
1,2,1,-2,237,91,1
1,2,1,-3,237,92,1
1,2,1,-5,237,93,1
1,2,1,-5,237,94,1
1,3,1,3,237,95,1
2,3,1,4,237,96,1
2,3,1,3,237,97,1
2,3,1,4,237,98,1
2,3,1,4,237,99,1
2,3,1,2,237,100,1
2,3,1,3,237,101,1
2,3,1,3,237,102,1
2,3,1,5,237,103,1
2,3,2,0,237,104,1
2,3,2,-1,237,105,1
2,2,1,4,237,106,1
2,3,2,1,237,107,1
2,3,1,4,237,108,1
2,3,1,4,237,109,1
2,3,1,4,237,110,1
2,3,1,5,237,111,1
2,3,1,3,237,112,1
2,3,1,3,237,113,1
2,2,1,3,237,114,1
1,2,1,4,237,115,0
1,2,1,3,237,116,1
1,2,1,2,237,117,1
1,2,1,2,237,118,1
1,3,2,-3,237,119,1
1,3,2,-4,237,120,1
1,2,1,0,237,121,1
1,3,2,-2,237,122,1
2,3,1,3,237,123,1
1,2,1,3,237,124,1
2,2,1,5,237,125,1
2,3,2,-4,455,1,0
1,2,1,-4,455,2,0
1,2,1,-2,455,3,1
1,2,1,-1,455,4,1
1,2,1,-2,455,5,1
1,3,2,3,455,6,1
1,3,2,0,455,7,1
1,2,1,-5,455,8,1
1,2,1,-5,455,9,1
