Action1,S2,Action2,Re,subject,round,rt2
2,3,1,-4,213,5,0
2,3,2,3,213,6,0
2,3,2,4,213,7,0
2,3,2,4,213,8,0
2,3,2,4,213,9,0
2,3,2,5,213,10,0
2,2,2,3,213,11,0
2,2,2,5,213,12,0
2,3,2,5,213,13,0
2,2,2,4,213,14,0
2,3,2,0,213,15,0
2,2,2,1,213,16,0
2,3,2,3,213,17,0
2,2,2,4,213,18,0
2,3,2,5,213,19,0
2,3,2,4,213,20,0
2,3,2,3,213,21,0
2,3,2,2,213,22,0
2,3,2,0,213,23,0
2,3,2,-2,213,24,0
2,3,2,-3,213,25,0
1,3,2,-3,213,26,0
1,2,2,-3,213,27,0
1,2,2,-4,213,28,0
1,2,2,-3,213,29,0
1,2,2,-3,213,30,0
2,3,1,-3,213,31,0
1,3,1,-1,213,32,1
1,3,1,-2,213,33,1
1,2,1,-1,213,34,1
1,2,1,1,213,35,0
1,2,1,0,213,36,0
1,2,1,1,213,37,0
1,3,1,2,213,38,0
1,3,1,0,213,39,0
1,2,1,0,213,40,0
1,3,1,-2,213,41,0
1,2,1,1,213,42,0
1,2,1,4,213,43,0
1,3,1,-1,213,44,0
1,2,1,4,213,45,0
1,2,1,4,213,46,0
1,2,1,5,213,47,0
1,3,1,3,213,48,0
1,2,1,-1,213,49,0
1,2,1,1,213,50,0
1,2,1,-1,213,51,0
1,2,1,-2,213,52,0
1,2,1,0,213,53,0
1,2,1,-2,213,54,0
1,3,1,5,213,55,0
1,2,1,-2,213,56,0
1,2,2,-4,213,57,0
2,2,1,-3,213,58,0
2,3,1,5,213,59,0
1,3,2,1,213,60,0
1,2,2,-2,213,61,0
1,2,2,-3,213,62,0
1,2,2,-3,213,63,0
2,3,1,0,213,64,0
2,3,1,-1,213,65,1
2,3,2,2,213,66,1
2,2,2,3,213,67,1
2,3,2,-2,213,68,1
2,2,2,3,213,69,1
2,3,2,-3,213,70,1
2,3,2,-2,213,71,1
2,3,1,0,213,72,1
1,2,2,0,213,73,0
1,2,2,0,213,74,0
1,2,2,0,213,75,0
1,2,2,-1,213,76,0
1,3,2,-5,213,77,0
1,2,2,-4,213,78,0
1,2,2,0,213,79,1
1,2,2,1,213,80,1
1,2,2,1,213,81,1
1,2,2,0,213,82,1
2,2,2,-1,213,83,1
2,3,1,0,213,84,1
2,3,1,-3,213,85,1
2,3,1,-2,213,86,1
2,3,1,-2,213,87,1
2,3,1,-1,213,88,1
2,2,1,2,213,89,1
2,2,1,3,213,90,1
