subject,time_elapsed,reading_time,check1,check2,check3,belief1,belief2,belief3,stamp
196,1618660,234737,0,1,2,0,0,0,8/17/17 19:01
288,1806299,424203,0,1,2,3,0,0,8/17/17 19:03
107,1383460,124212,0,1,2,0,1,1,8/17/17 19:08
96,3513877,1032463,0,1,2,3,0,0,8/17/17 19:11
299,3993553,2014720,0,1,2,1,0,1,8/17/17 19:24
292,1200366,104473,0,2,2,3,1,0,8/17/17 19:29
204,1305136,70753,0,1,2,3,0,0,8/17/17 19:32
2,1735770,213913,1,0,2,2,0,0,8/17/17 19:40
253,1197830,102009,0,1,2,2,0,0,8/17/17 20:17
18,1435976,236284,0,1,2,2,0,0,8/17/17 20:52
25,1381177,182294,0,1,2,2,0,0,8/17/17 21:03
197,5512052,4224140,0,1,2,0,1,0,8/17/17 21:03
213,1366560,135699,0,1,2,1,0,0,8/17/17 22:07
28,1435387,279771,0,1,2,2,0,0,8/17/17 23:19
92,1672987,406420,0,1,2,1,0,0,8/18/17 3:07
